<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;129;8;;;;;;;;39;20065,54785
MOEX,MDMG:TQBR;60;20210216;180000;495,9;;;;;;493,2;0;152,4465998;;2,794117647;73,64341085;30;70;;0,00;39,3320715;19504,77426
MOEX,MDMG:TQBR;60;20210216;190000;495,1;;;;;;493,48125;0;152,4465998;;1,78;64,02877698;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210217;110000;494,85;;;;;;493,69375;0;152,4465998;;1,581818182;61,26760563;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210217;120000;494;;;;;;493,7875;0;152,4465998;;1,380952381;58;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210217;130000;493,6;;;;;;493,8875;0,308846434;0;;1,891304348;65,41353383;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210217;140000;497,25;;;;;;494,6;0;153,5738893;;3,043478261;75,2688172;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210217;150000;500,05;;;;;;495,5375;0;153,5738893;;3,826086957;79,27927928;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210217;160000;502,4;;;;;;496,64375;0;153,5738893;;3,826086957;79,27927928;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210217;170000;504,8;;;;;;497,75625;0;153,5738893;;7,466666667;88,18897638;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210217;180000;504,25;;;;;;498,9;0;153,5738893;;6,222222222;86,15384615;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210217;190000;502;;;;;;499,79375;0;153,5738893;;3,5;77,77777778;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210218;110000;500,6;;;;;;500,61875;0,306779643;0;;2,666666667;72,72727273;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210218;120000;502,85;;;;;;501,775;0;154,2641435;;2,333333333;70;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210218;130000;503,7;;;;;;502,58125;0;154,2641435;;1,869047619;65,14522822;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210218;140000;505,65;;;;;;503,28125;0;154,2641435;;1,773809524;63,94849785;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210218;150000;504,5;;;;;;503,54375;0;154,2641435;;0,943925234;48,55769231;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210218;160000;505,9;;;;;;503,68125;0;154,2641435;;1,34375;57,33333333;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210218;170000;509,65;;;;;;504,35625;0;154,2641435;;4;80;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210218;180000;510;;;;;;505,35625;0;154,2641435;;9,173913043;90,17094017;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210218;190000;507;;;;;;506,15625;0;154,2641435;;2;66,66666667;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210219;110000;510,6;;;;;;507,125;0;154,2641435;;2,662650602;72,69736842;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210219;120000;510,25;;;;;;507,94375;0;154,2641435;;2,022222222;66,91176471;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210219;130000;512,95;;;;;;508,85625;0;154,2641435;;3,52238806;77,88778878;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210219;140000;512,7;;;;;;509,88125;0;154,2641435;;2,888888889;74,28571429;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210219;150000;509,35;;;;;;510,3125;0,302864717;0;;0,956834532;48,89705882;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210219;160000;508,95;;;;;;510,225;0,302864717;0;;0,857142857;46,15384615;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210219;170000;507;;;;;;509,85;0,302864717;0;;1;50;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210219;180000;506;;;;;;509,725;0,302864717;0;;0,369863014;27;30;70;;19473,31;0;19473,3086
MOEX,MDMG:TQBR;60;20210219;190000;510;;;;;;509,65;0;154,4610055;;0,964028777;49,08424908;30;70;;0,00;38,18295804;19473,3086
MOEX,MDMG:TQBR;60;20210220;110000;511;;;;;;509,74375;0;154,4610055;;0,71942446;41,84100418;30;70;;0,00;38,18295804;19511,49156
