<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;;8
MOEX;60;20220126;180000;144,3;;;;;;;;
MOEX;60;20220126;190000;142,82;;;;;;;;
MOEX;60;20220126;200000;143,2;;;;;;;;
MOEX;60;20220126;210000;143,49;;;;;;;;
MOEX;60;20220126;220000;143,64;;;;;;;;
MOEX;60;20220126;230000;142,56;;;;;;;;
MOEX;60;20220127;0;141,22;;;;;;;;
MOEX;60;20220127;80000;140,49;;;;;;;;
MOEX;60;20220127;90000;140,78;;;;;;;;
MOEX;60;20220127;100000;140,87;;;;;;;;
MOEX;60;20220127;110000;142,16;;;;;;;;
MOEX;60;20220127;120000;145,67;;;;;;;;
MOEX;60;20220127;130000;146,48;;;;;;;;
MOEX;60;20220127;140000;145,68;;;;;;;;
MOEX;60;20220127;150000;145,51;;;;;;;;
MOEX;60;20220127;160000;146,87;;;;;;;;
MOEX;60;20220127;170000;146,15;;;;;;;;
MOEX;60;20220127;180000;146,34;;;;;;;;
MOEX;60;20220127;190000;144,5;;;;;;;;
MOEX;60;20220127;200000;145,67;;;;;;;;
MOEX;60;20220127;210000;144,84;;;;;;;;
MOEX;60;20220127;220000;144,95;;;;;;;;
MOEX;60;20220127;230000;144,64;;;;;;;;
MOEX;60;20220128;0;144,91;;;;;;;;
MOEX;60;20220128;80000;146,07;;;;;;;;
MOEX;60;20220128;90000;147,11;;;;;;;;
MOEX;60;20220128;100000;146,96;;;;;;;;
MOEX;60;20220128;110000;143,99;;;;;;;;
MOEX;60;20220128;120000;143,9;;;;;;;;
MOEX;60;20220128;130000;145,64;;;;;;;;
MOEX;60;20220128;140000;145,36;;;;;;;;
MOEX;60;20220128;150000;145,78;;;;;;;;
MOEX;60;20220128;160000;144,27;;;;;;;;
MOEX;60;20220128;170000;144,19;;;;;;;;
MOEX;60;20220128;180000;144,24;;;;;;;;
MOEX;60;20220128;190000;144,01;;;;;;;;
MOEX;60;20220128;200000;144,48;;;;;;;;
