<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
AFLT;60;20210111;230000;74,02
AFLT;60;20210112;0;74,08
AFLT;60;20210112;110000;74,38
AFLT;60;20210112;120000;74,04
AFLT;60;20210112;130000;74,2
AFLT;60;20210112;140000;74,34
AFLT;60;20210112;150000;74,36
AFLT;60;20210112;160000;74,08
AFLT;60;20210112;170000;73,54
AFLT;60;20210112;180000;73,42
AFLT;60;20210112;190000;73,54
AFLT;60;20210112;200000;73,78
AFLT;60;20210112;210000;73,98
AFLT;60;20210112;220000;74,02
AFLT;60;20210112;230000;74,04
AFLT;60;20210113;0;74,18
AFLT;60;20210113;110000;73,64
AFLT;60;20210113;120000;73,32
AFLT;60;20210113;130000;73,46
AFLT;60;20210113;140000;73,32
AFLT;60;20210113;150000;73,36
AFLT;60;20210113;160000;73,08
AFLT;60;20210113;170000;73,1
AFLT;60;20210113;180000;73,04
AFLT;60;20210113;190000;73,36
AFLT;60;20210113;200000;73,46
AFLT;60;20210113;210000;73,5
AFLT;60;20210113;220000;73,52
AFLT;60;20210113;230000;73,52
AFLT;60;20210114;0;73,5
AFLT;60;20210114;110000;72,98
AFLT;60;20210114;120000;73,04
AFLT;60;20210114;130000;73,02
AFLT;60;20210114;140000;73,04
AFLT;60;20210114;150000;72,8
AFLT;60;20210114;160000;73,04
AFLT;60;20210114;170000;72,8
AFLT;60;20210114;180000;73
AFLT;60;20210114;190000;73,2
AFLT;60;20210114;200000;73,3
AFLT;60;20210114;210000;73,18
AFLT;60;20210114;220000;73,22
AFLT;60;20210114;230000;73,22
AFLT;60;20210115;0;73,16
AFLT;60;20210115;110000;73,2
AFLT;60;20210115;120000;73,52
AFLT;60;20210115;130000;73,4
AFLT;60;20210115;140000;73,42
AFLT;60;20210115;150000;73,04
AFLT;60;20210115;160000;72,5
AFLT;60;20210115;170000;72,6
AFLT;60;20210115;180000;72,58
AFLT;60;20210115;190000;72,6
AFLT;60;20210115;200000;72,42
AFLT;60;20210115;210000;72,32
AFLT;60;20210115;220000;72,22
AFLT;60;20210115;230000;72,36
AFLT;60;20210116;0;72,3
AFLT;60;20210118;110000;72,62
AFLT;60;20210118;120000;72,56
AFLT;60;20210118;130000;72,42
AFLT;60;20210118;140000;72,62
AFLT;60;20210118;150000;72,58
AFLT;60;20210118;160000;72,58
AFLT;60;20210118;170000;72,48
AFLT;60;20210118;180000;72,48
AFLT;60;20210118;190000;72,44
AFLT;60;20210118;200000;72,62
AFLT;60;20210118;210000;72,7
AFLT;60;20210118;220000;72,64
AFLT;60;20210118;230000;72,7
AFLT;60;20210119;0;72,78
AFLT;60;20210119;110000;73,44
AFLT;60;20210119;120000;73,72
AFLT;60;20210119;130000;73,68
AFLT;60;20210119;140000;73,7
AFLT;60;20210119;150000;74,22
AFLT;60;20210119;160000;74,18
AFLT;60;20210119;170000;73,78
AFLT;60;20210119;180000;73,56
AFLT;60;20210119;190000;73,4
AFLT;60;20210119;200000;73,36
AFLT;60;20210119;210000;73,78
AFLT;60;20210119;220000;73,76
AFLT;60;20210119;230000;73,84
AFLT;60;20210120;0;73,72
AFLT;60;20210120;110000;73,8
AFLT;60;20210120;120000;74,08
AFLT;60;20210120;130000;74,12
AFLT;60;20210120;140000;73,86
AFLT;60;20210120;150000;73,5
AFLT;60;20210120;160000;73,4
AFLT;60;20210120;170000;73,44
AFLT;60;20210120;180000;73,6
AFLT;60;20210120;190000;73,8
AFLT;60;20210120;200000;73,64
AFLT;60;20210120;210000;73,56
AFLT;60;20210120;220000;73,5
AFLT;60;20210120;230000;73,62
AFLT;60;20210121;0;73,72
AFLT;60;20210121;110000;73,5
AFLT;60;20210121;120000;72,5
AFLT;60;20210121;130000;72,58
AFLT;60;20210121;140000;72,86
AFLT;60;20210121;150000;72,6
AFLT;60;20210121;160000;72,68
AFLT;60;20210121;170000;72,82
AFLT;60;20210121;180000;72,48
AFLT;60;20210121;190000;72,52
AFLT;60;20210121;200000;72,58
AFLT;60;20210121;210000;72,54
AFLT;60;20210121;220000;72,56
AFLT;60;20210121;230000;72,54
AFLT;60;20210122;0;72,5
AFLT;60;20210122;110000;71,58
AFLT;60;20210122;120000;71,48
AFLT;60;20210122;130000;71,88
AFLT;60;20210122;140000;72,08
AFLT;60;20210122;150000;72,08
AFLT;60;20210122;160000;72,1
AFLT;60;20210122;170000;72,12
AFLT;60;20210122;180000;72,18
AFLT;60;20210122;190000;72,16
AFLT;60;20210122;200000;71,94
AFLT;60;20210122;210000;71,76
AFLT;60;20210122;220000;71,84
AFLT;60;20210122;230000;71,86
